ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 1715,,,04 52 03,04h52m03s,157 07.8,-67 7.8,-67°7.8',"very faint, small, round, suddenly brighter middle, 2 stars near, northeastern of 2"
NGC 1716,,,04 52 16,04h52m16s,110 34.7,-20 34.7,-20°34.7',"pretty faint, pretty large, round, gradually a little brighter middle"
NGC 1717,1.0,,04 52,04h52m00s,90 28,-0 28,-0°28',northwest of h 340 (perhaps a faint star?)
NGC 1718,,,04 52 20,04h52m20s,157 16.7,-67 16.7,-67°16.7',"faint, pretty small, round, very gradually a little brighter middle"
NGC 1719,,,04 52 26,04h52m26s,90 27.9,-0 27.9,-0°27.9',"pretty faint, small, irregularly round, pretty suddenly a little brighter middle"
NGC 1720,,,04 52 37,04h52m37s,98 04.0,-8 4,-8°4',"pretty faint, pretty large, a little brighter middle, h 341 near"
NGC 1721,,,04 52 40,04h52m40s,101 20.6,-11 20.6,-11°20.6',"very faint, very small, round"
NGC 1722,,,04 52 42,04h52m42s,159 37.2,-69 37.2,-69°37.2',
NGC 1723,,,04 52 50,04h52m50s,101 11.5,-11 11.5,-11°11.5',"faint, between two 9th magnitude stars, 10th magnitude stars north and south, 3rd star to east"
NGC 1724,,,04 52 53,04h52m53s,40 42.4,49 17.6,49°17.6',
NGC 1725,,,04 52 55,04h52m55s,101 20.9,-11 20.9,-11°20.9',"extremely faint, very small, round"
NGC 1726,,,04 52 59,04h52m59s,97 58.0,-7 58,-7°58',"faint, round, 13th magnitude star to south"
NGC 1727,,,04 53 01,04h53m01s,159 34.1,-69 34.1,-69°34.1',
NGC 1728,,,04 53 05,04h53m05s,101 20.6,-11 20.6,-11°20.6',"very faint, very small, round"
NGC 1729,,,04 53 13,04h53m13s,93 35.1,-3 35.1,-3°35.1',"very faint, pretty large, 2 bright stars very near"
NGC 1730,,,04 53 13,04h53m13s,106 02.1,-16 2.1,-16°2.1',"faint, pretty small, a little extended, between 2 faint stars (per Ormond Stone, a double nebula of 10 arcsec separation)"
NGC 1731,,,04 53 23,04h53m23s,157 08.6,-67 8.6,-67°8.6',
NGC 1732,,,04 53 43,04h53m43s,158 52.4,-68 52.4,-68°52.4',"small, round, close double star in middle"
NGC 1733,,,04 53 49,04h53m49s,156 53.7,-66 53.7,-66°53.7',"extremely faint, pretty small, round, gradually brighter middle"
NGC 1734,,,04 54 08,04h54m08s,158 59.3,-68 59.3,-68°59.3',"pretty bright, large, round, gradually much brighter middle"
NGC 1735,,,04 54 19,04h54m19s,157 18.9,-67 18.9,-67°18.9',"pretty faint, pretty small, round, 2 stars attached"
NGC 1736,,,04 54 19,04h54m19s,158 17.3,-68 17.3,-68°17.3',"bright, round, mottled but not resolved"
NGC 1737,,,04 54 32,04h54m32s,159 24.2,-69 24.2,-69°24.2',"very faint, small, 1st of 4"
NGC 1738,,,04 54 40,04h54m40s,108 21.8,-18 21.8,-18°21.8',"very faint, small, extended 45°"
NGC 1739,,,04 54 40,04h54m40s,108 21.8,-18 21.8,-18°21.8',"extremely faint, very small, a little extended, in field with last"
NGC 1740,,,04 54 41,04h54m41s,93 30.8,-3 30.8,-3°30.8',"extremely faint, very small, 12th magnitude star to southwest"
NGC 1741,,,04 54 43,04h54m43s,94 27.9,-4 27.9,-4°27.9',"very faint, very small, very small excentric part involved"
NGC 1742,,,04 54 45,04h54m45s,93 30.4,-3 30.4,-3°30.4',"very faint, very small, 3.6 seconds of time to the east of h 342"
NGC 1743,,,04 54 49,04h54m49s,159 25.3,-69 25.3,-69°25.3',"bright, pretty large, round, gradually brighter middle, mottled but not resolved, 2nd of 4"
NGC 1744,,,04 54 51,04h54m51s,116 14.6,-26 14.6,-26°14.6',"faint, very large, very much extended, very gradually very little brighter middle"
NGC 1745,,,04 55 08,04h55m08s,159 23.2,-69 23.2,-69°23.2',"faint, small, 3rd of 4"
NGC 1746,,,04 55 09,04h55m09s,66 24.2,23 35.8,23°35.8',
NGC 1747,,,04 55 13,04h55m13s,157 23.5,-67 23.5,-67°23.5',
NGC 1748,,,04 55 14,04h55m14s,159 25.1,-69 25.1,-69°25.1',"pretty bright, very small, round, 4th of 4"
NGC 1749,,,04 55 17,04h55m17s,158 24.4,-68 24.4,-68°24.4',"very faint, round, preceding (western) of 2"
NGC 1750,,,04 55 19,04h55m19s,66 33.3,23 26.7,23°26.7',
NGC 1751,,,04 55 19,04h55m19s,160 02.0,-70 2,-70°2',"extremely faint, pretty large, irregularly round"
NGC 1752,,,04 55 26,04h55m26s,98 26.8,-8 26.8,-8°26.8',"faint, pretty large, pretty much extended, two or three 11th magnitude  stars to northeast"
NGC 1753,,,04 55 30,04h55m30s,93 33.2,-3 33.2,-3°33.2',"most extremely faint, pretty small, round, southeast of h 342"
NGC 1754,,,04 55 37,04h55m37s,160 39.8,-70 39.8,-70°39.8',"faint, small, round, 13th magnitude star attached at 135°"
NGC 1755,,,04 55 37,04h55m37s,158 25.7,-68 25.7,-68°25.7',"very bright, pretty large, round, gradually brighter middle"
NGC 1756,,,04 55 38,04h55m38s,159 27.4,-69 27.4,-69°27.4',"very faint, small, round"
NGC 1757,,,04 55 45,04h55m45s,94 55.6,-4 55.6,-4°55.6',
NGC 1758,,,04 55 6,04h55m6s,66 25.4,23 34.6,23°34.6',
NGC 1759,,,04 56 06,04h56m06s,128 55.0,-38 55,-38°55',"very faint, pretty large, very gradually a little brighter middle"
NGC 1760,,,04 56 16,04h56m16s,156 43.9,-66 43.9,-66°43.9',"very faint, small, 3 very small stars involved"
NGC 1761,,,04 56 19,04h56m19s,156 41.1,-66 41.1,-66°41.1',
NGC 1762,,,04 56 25,04h56m25s,88 34.5,1 25.5,1°25.5',"very faint, very small"
NGC 1763,,,04 56 32,04h56m32s,156 37.2,-66 37.2,-66°37.2',"very bright, very large, very irregularly much extended"
NGC 1764,,,04 56 42,04h56m42s,157 54.6,-67 54.6,-67°54.6',"very faint, small, round"
NGC 1765,,,04 56 52,04h56m52s,152 14.2,-62 14.2,-62°14.2',"considerably faint, small, round, gradually a little brighter middle"
NGC 1766,,,04 57 15,04h57m15s,160 26.3,-70 26.3,-70°26.3',"considerably faint, small, gradually brighter middle"
NGC 1767,,,04 57 18,04h57m18s,159 36.5,-69 36.5,-69°36.5',
NGC 1768,,,04 57 22,04h57m22s,158 28.1,-68 28.1,-68°28.1',"faint, small, round, gradually brighter middle"
NGC 1769,,,04 57 30,04h57m30s,156 39.9,-66 39.9,-66°39.9',"bright, large, irregularly round, very suddenly much brighter middle like a double star of 10th magnitude"
NGC 1770,,,04 57 40,04h57m40s,158 37.7,-68 37.7,-68°37.7',
NGC 1771,,,04 57 48,04h57m48s,153 20.7,-63 20.7,-63°20.7',"very faint, much extended, gradually a little brighter middle, 7.8 magnitude star to northwest"
NGC 1772,,,04 57 49,04h57m49s,159 46.0,-69 46,-69°46',"pretty bright, pretty small, irregularly round, partially resolved, some stars seen"
NGC 1773,,,04 57 50,04h57m50s,156 34.0,-66 34,-66°34',"pretty faint, pretty large, irregularly round, 2 or 3 bright stars near"
NGC 1774,,,04 58 11,04h58m11s,157 27.1,-67 27.1,-67°27.1',"bright, small, round, suddenly much brighter middle, double star plus nebula"
NGC 1775,,,04 58 19,04h58m19s,160 38.4,-70 38.4,-70°38.4',"extremely faint, pretty large, irregularly round"
NGC 1776,,,04 58 23,04h58m23s,156 38.0,-66 38,-66°38',"very faint, small, round, gradually brighter middle"
NGC 1777,,,,,,,,
NGC 1778,,,04 58 36,04h58m36s,53 08.3,36 51.7,36°51.7',
NGC 1779,,,04 58 38,04h58m38s,99 20.5,-9 20.5,-9°20.5',"pretty bright, small, round, gradually pretty much brighter middle"
NGC 1780,,,04 58 40,04h58m40s,109 38.6,-19 38.6,-19°38.6',"extremely faint, extremely small, gradually brighter middle"
NGC 1781,,,04 58 43,04h58m43s,108 22.9,-18 22.9,-18°22.9',"extremely faint, very small, stellar"
NGC 1782,,,04 58 44,04h58m44s,159 36.3,-69 36.3,-69°36.3',
NGC 1783,,,04 58 44,04h58m44s,156 11.6,-66 11.6,-66°11.6',"considerably bright, large, round, very gradually pretty much brighter middle, mottled but not resolved"
NGC 1784,,,04 58 57,04h58m57s,102 04.1,-12 4.1,-12°4.1',"pretty bright, pretty large, very little extended, very gradually brighter middle, among stars"
NGC 1785,,,04 59 12,04h59m12s,159 03.6,-69 3.6,-69°3.6',
NGC 1786,,,,,,,,
NGC 1787,,,04 59 52,04h59m52s,156 02.7,-66 2.7,-66°2.7',
NGC 1788,,,04 59 57,04h59m57s,93 32.7,-3 32.7,-3°32.7',"bright, considerably large, round, brighter middle like a 15th magnitude triple star, 10th magnitude star involved in the nebulosity at a distance of 1 1/2 arcmin, and position angle 318°"
NGC 1789,,,04 59 58,04h59m58s,162 05.6,-72 5.6,-72°5.6',"very faint, pretty small, round, very gradually a little brighter middle"
NGC 1790,,,05 00 13,05h00m13s,38 07.1,51 52.9,51°52.9',
NGC 1791,,,05 00 20,05h00m20s,160 21.8,-70 21.8,-70°21.8',"extremely faint, small, round"
NGC 1792,,,05 00 24,05h00m24s,128 11.6,-38 11.6,-38°11.6',"very bright, very large, much extended 314°, gradually a little bright middle, partially resolved, some stars seen"
NGC 1793,,,05 00 36,05h00m36s,159 45.4,-69 45.4,-69°45.4',"faint, small, round, gradually a little brighter middle"
NGC 1794,,,05 00 40,05h00m40s,108 21.6,-18 21.6,-18°21.6',"very faint, extremely small, gradually brighter middle (= (WH) III 268?)"
NGC 1795,,,05 00 59,05h00m59s,159 59.6,-69 59.6,-69°59.6',"faint, pretty large, a little extended"
NGC 1796,,,05 01 01,05h01m01s,151 19.5,-61 19.5,-61°19.5',"pretty faint, pretty small, pretty much extended, very gradually a little brighter middle"
NGC 1797,,,05 01 03,05h01m03s,98 12.5,-8 12.5,-8°12.5',"most extremely faint, small, round, very faint star to northwest"
NGC 1798,,,05 01 07,05h01m07s,42 31.2,47 28.8,47°28.8',"small, a cluster or a cluster plus nebulosity"
NGC 1799,,,05 01 08,05h01m08s,98 09.5,-8 9.5,-8°9.5',"very faint, very small, very little extended"
NGC 1800,,,05 11 11,05h11m11s,122 08.7,-32 8.7,-32°8.7',"pretty bright, pretty much extended, gradually pretty much brighter middle, 13th magnitude star to east"
NGC 1801,,,05 01 34,05h01m34s,159 48.5,-69 48.5,-69°48.5',"faint, pretty large, round, very gradually a little brighter middle, preceding (western) of 2"
NGC 1802,,,05 01 44,05h01m44s,66 04.8,23 55.2,23°55.2',
NGC 1803,,,05 01 52,05h01m52s,139 45.8,-49 45.8,-49°45.8',"faint, small, round, very gradually a little brighter middle, 11th magnitude star to the southeast, perhaps nebulous"
NGC 1804,,,05 01 52,05h01m52s,159 16.9,-69 16.9,-69°16.9',"faint, small, round, brighter middle"
NGC 1805,,,05 02 02,05h02m02s,156 18.1,-66 18.1,-66°18.1',"bright, very small, very suddenly much brighter middle, stars plus nebulosity"
NGC 1806,,,05 02 32,05h02m32s,158 11.3,-68 11.3,-68°11.3',"pretty bright, large, gradually brighter middle"
NGC 1807,,,05 02 38,05h02m38s,73 39.6,16 20.4,16°20.4',
NGC 1808,,,05 02 50,05h02m50s,127 41.8,-37 41.8,-37°41.8',"bright, large, extended, pretty suddenly bright middle"
NGC 1809,,,05 03 05,05h03m05s,159 49.2,-69 49.2,-69°49.2',"pretty faint, small, round, gradually brighter middle, 2nd of 2"
NGC 1810,,,05 03 09,05h03m09s,156 34.3,-66 34.3,-66°34.3',"considerably faint, small, round, a little brighter middle, globular cluster following (to the east)"
NGC 1811,,,05 03 17,05h03m17s,119 27.9,-29 27.9,-29°27.9',"considerably faint, small, a little extended, preceding (western) of 2"
NGC 1812,,,05 03 27,05h03m27s,119 26.1,-29 26.1,-29°26.1',"faint, small, round, gradually a little brighter middle, following (eastern) of 2"
NGC 1813,,,05 03 55,05h03m55s,160 30.7,-70 30.7,-70°30.7',"very faint, small, round, mottled but not resolved"
NGC 1814,,,05 03 55,05h03m55s,157 29.7,-67 29.7,-67°29.7',"very faint, round, smaller of 2 in cluster"
NGC 1815,,,05 03 56,05h03m56s,160 48.6,-70 48.6,-70°48.6',"faint, very small, round, very little brighter middle, among stars"
NGC 1816,,,05 03 59,05h03m59s,157 27.0,-67 27,-67°27',"very faint, round, 2nd nebula in cluster"
NGC 1817,,,05 03 59,05h03m59s,73 28.7,16 31.3,16°31.3',
NGC 1818,,,05 04 02,05h04m02s,156 37.1,-66 37.1,-66°37.1',
NGC 1819,,,05 04 10,05h04m10s,84 58.2,5 1.8,5°1.8',"very faint, small, round"
NGC 1820,,,05 04 22,05h04m22s,157 26.8,-67 26.8,-67°26.8',
NGC 1821,,,05 04 40,05h04m40s,105 17.4,-15 17.4,-15°17.4',"very faint, very small, a little extended"
NGC 1822,,,05 04 48,05h04m48s,156 23.8,-66 23.8,-66°23.8',"very faint, small, preceding (western) of 2"
NGC 1823,,,05 04 52,05h04m52s,160 31.9,-70 31.9,-70°31.9',
NGC 1824,,,05 04 53,05h04m53s,149 54.2,-59 54.2,-59°54.2',"very faint, pretty large, very much extended 162°"
NGC 1825,,,05 05 02,05h05m02s,159 07.9,-69 7.9,-69°7.9',
NGC 1826,,,05 05 11,05h05m11s,156 25.0,-66 25,-66°25',"very faint, small, following (eastern) of 2"
NGC 1827,,,05 05 13,05h05m13s,127 09.3,-37 9.3,-37°9.3',"very faint, very much extended, long ray, 11th magnitude star involved"
NGC 1828,,,05 05 17,05h05m17s,159 34.6,-69 34.6,-69°34.6',"faint, small, round, 1st of 3"
NGC 1829,,,05 05 23,05h05m23s,158 14.2,-68 14.2,-68°14.2',"faint, pretty large, round, mottled but not resolved"
NGC 1830,,,05 05 34,05h05m34s,159 31.8,-69 31.8,-69°31.8',"faint, pretty small, round, 2nd of 3"
NGC 1831,,,05 05 36,05h05m36s,155 06.7,-65 6.7,-65°6.7',"bright, large, round, gradually a little brighter middle, mottled but not resolved"
NGC 1832,,,05 05 53,05h05m53s,105 53.2,-15 53.2,-15°53.2',"pretty bright, irregularly round, much brighter middle, considerable star 1 arcmin to northeast"
NGC 1833,,,05 05 56,05h05m56s,160 55.1,-70 55.1,-70°55.1',"very faint, pretty large, 1st of several"
NGC 1834,,,05 06 03,05h06m03s,159 23.9,-69 23.9,-69°23.9',
NGC 1835,,,05 06 04,05h06m04s,159 35.2,-69 35.2,-69°35.2',"considerably bright, small, round, gradually much brighter middle, 3rd of 3"
NGC 1836,,,05 06 13,05h06m13s,158 48.7,-68 48.7,-68°48.7',
NGC 1837,,,05 06 28,05h06m28s,160 53.9,-70 53.9,-70°53.9',
NGC 1838,,,05 06 33,05h06m33s,158 37.5,-68 37.5,-68°37.5',
NGC 1839,,,05 06 38,05h06m38s,158 48.6,-68 48.6,-68°48.6',"stars plus nebula, pretty bright, irregular figure, 2nd of several"
NGC 1840,,,05 06 46,05h06m46s,161 56.1,-71 56.1,-71°56.1',"faint, round, brighter middle, mottled but not resolved (min of RA questionable?)"
NGC 1841,,,05 07 02,05h07m02s,174 12.6,-84 12.6,-84°12.6',"pretty faint, large, irregularly round, very suddenly brighter middle, mottled but not resolved"
NGC 1842,,,05 07 21,05h07m21s,157 27.3,-67 27.3,-67°27.3',"very very faint, round, preceding (western) of 2"
NGC 1843,,,05 07 30,05h07m30s,100 47.5,-10 47.5,-10°47.5',"faint, small, round, a little brighter middle"
NGC 1844,,,05 07 37,05h07m37s,157 29.9,-67 29.9,-67°29.9',"pretty faint, pretty large, round, gradually brighter middle, following (eastern) of 2"
NGC 1845,,,05 07 38,05h07m38s,160 44.7,-70 44.7,-70°44.7',
NGC 1846,,,05 07 45,05h07m45s,157 38.0,-67 38,-67°38',"pretty bright, considerably large, round, very gradually a little brighter middle, mottled but not resolved"
NGC 1847,,,05 07 56,05h07m56s,159 08.9,-69 8.9,-69°8.9',"bright, small, a little extended, double star in middle"
NGC 1848,,,05 08 06,05h08m06s,161 21.9,-71 21.9,-71°21.9',
NGC 1849,,,05 09 21,05h09m21s,156 28.7,-66 28.7,-66°28.7',"very faint, small, a little extended, gradually a little brighter middle"
NGC 1850,,,05 09 25,05h09m25s,158 55.8,-68 55.8,-68°55.8',
NGC 1851,,,05 09 30,05h09m30s,130 12.3,-40 12.3,-40°12.3',
NGC 1852,,,05 09 42,05h09m42s,157 57.0,-67 57,-67°57',"faint, pretty large, round, very gradually a little brighter middle"
NGC 1853,,,05 09 52,05h09m52s,147 33.7,-57 33.7,-57°33.7',"faint, small, much extended 45°, very gradually very little brighter middle, 11th magnitude star to northeast"
NGC 1854,,,05 10 02,05h10m02s,159 01.2,-69 1.2,-69°1.2',
NGC 1855,,,05 10 08,05h10m08s,159 00.6,-69 00.6,-69°00.6',
NGC 1856,,,05 10 20,05h10m20s,159 18.0,-69 18,-69°18',"bright, pretty large, round, gradually brighter middle, 12 seconds of time diameter in RA"
NGC 1857,,,05 10 26,05h10m26s,50 48.5,39 11.5,39°11.5',
NGC 1858,,,05 10 37,05h10m37s,159 03.7,-69 3.7,-69°3.7',"bright, large, irregularly extended, binuclear, a cluster plus nebulosity"
NGC 1859,,,05 10 59,05h10m59s,155 24.8,-65 24.8,-65°24.8',"faint, small, round, very gradually brighter middle, 7th magnitude star 6 arcmin to northeast"
NGC 1860,,,05 11 22,05h11m22s,158 55.6,-68 55.6,-68°55.6',"faint, pretty large, round, very gradually brighter middle"
NGC 1861,,,05 12 02,05h12m02s,160 56.9,-70 56.9,-70°56.9',"extremely faint, pretty large, round, gradually a very little brighter middle"
NGC 1862,,,05 12 06,05h12m06s,156 18.8,-66 18.8,-66°18.8',"pretty faint, large, irregularly round, very gradually brighter middle, mottled but not resolved"
NGC 1863,,,05 12 19,05h12m19s,158 53.4,-68 53.4,-68°53.4',"very bright, very small, round, mottled but not resolved or stellar"
NGC 1864,,,05 12 56,05h12m56s,157 47.3,-67 47.3,-67°47.3',"faint, pretty small, irregularly round, brighter middle, mottled but not resolved or stellar"
NGC 1865,,,05 13 06,05h13m06s,158 55.6,-68 55.6,-68°55.6',"very faint, pretty large, round, very gradually a little brighter middle"
NGC 1866,,,05 13 11,05h13m11s,155 37.6,-65 37.6,-65°37.6',"very bright, large, round, very gradually much brighter middle, mottled but not resolved"
NGC 1867,,,05 13 27,05h13m27s,156 27.1,-66 27.1,-66°27.1',"extremely faint, pretty large, round"
NGC 1868,,,05 13 42,05h13m42s,154 06.6,-64 6.6,-64°6.6',"pretty bright, pretty large, round, very gradually a little brighter middle"
NGC 1869,,,05 13 58,05h13m58s,157 32.1,-67 32.1,-67°32.1',
NGC 1870,,,05 13 59,05h13m59s,159 16.5,-69 16.5,-69°16.5',"bright, small, round, gradually a little brighter middle"
NGC 1871,,,05 14 06,05h14m06s,157 36.8,-67 36.8,-67°36.8',
NGC 1872,,,05 14 08,05h14m08s,159 28.2,-69 28.2,-69°28.2',"pretty bright, round, gradually brighter middle, 1st of group"
NGC 1873,,,05 14 09,05h14m09s,157 29.4,-67 29.4,-67°29.4',
NGC 1874,,,05 14 10,05h14m10s,159 31.9,-69 31.9,-69°31.9',
NGC 1875,,,05 14 13,05h14m13s,83 28,6 32,6°32',"extremely faint, small, round"
NGC 1876,,,05 14 16,05h14m16s,159 31.0,-69 31,-69°31',"pretty bright, irregularly round, binuclear, 2nd in group"
NGC 1877,,,05 14 19,05h14m19s,159 31.8,-69 31.8,-69°31.8',"very faint, 3rd of group in cluster"
NGC 1878,,,05 14 26,05h14m26s,160 37.9,-70 37.9,-70°37.9',"very faint, a little extended, gradually a very little brighter middle, mottled but not resolved"
NGC 1879,,,05 14 37,05h14m37s,122 17.8,-32 17.8,-32°17.8',"very faint, large, round, very gradually very little brighter middle, 12th magnitude star to west"
NGC 1880,,,05 14 38,05h14m38s,159 31.8,-69 31.8,-69°31.8',4th of group in cluster
NGC 1881,,,05 15 03,05h15m03s,159 27.0,-69 27,-69°27',"very faint, double star to west"
NGC 1882,,,05 15 16,05h15m16s,156 16.6,-66 16.6,-66°16.6',"pretty faint, round, very gradually very little brighter middle, mottled but not resolved"
NGC 1883,,,05 15 29,05h15m29s,43 35.9,46 24.1,46°24.1',
NGC 1884,,,05 15 45,05h15m45s,156 18.8,-66 18.8,-66°18.8',"extremely faint, pretty large"
NGC 1885,,,05 15 47,05h15m47s,159 07.4,-69 7.4,-69°7.4',"pretty bright, very small, round, brighter middle"
NGC 1886,,,05 15 51,05h15m51s,113 57.9,-23 57.9,-23°57.9',"very faint, pretty large, extended 240°, 8th magnitude star 40 arcsec to southwest"
NGC 1887,,,05 15 54,05h15m54s,156 28.3,-66 28.3,-66°28.3',"very faint, very small, round, star 25 arcsec to west"
NGC 1888,,,05 16 03,05h16m03s,101 37.7,-11 37.7,-11°37.7',"pretty bright, pretty large, round, mottled but not resolved"
NGC 1889,,,05 16,05h16m00s,101 38,-11 38,-11°38',
NGC 1890,,,05 16 06,05h16m06s,162 13.9,-72 13.9,-72°13.9',"very faint, small, round, gradually a little brighter middle"
NGC 1891,,,05 16 21,05h16m21s,125 51.6,-35 51.6,-35°51.6',
NGC 1892,,,05 16 32,05h16m32s,155 06.7,-65 6.7,-65°6.7',"considerably faint, pretty large, extended 90°±, very gradually little brighter middle"
