ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 170,,,00 29 35,00h29m35s,88 52,1 8,1°8',"faint, small, round"
NGC 171,,,00 29 41,00h29m41s,109 44.1,-19 44.1,-19°44.1',"very faint, pretty large, a little extended, 2 pretty bright stars to southeast"
NGC 172,,,00 30 00,00h30m00s,113 23.0,-23 23,-23°23',"extremely faint, small, extended"
NGC 173,,,00 30 02,00h30m02s,88 49.8,1 10.2,1°10.2',"very faint, small, round, very gradually brighter middle, 11th magnitude star 80 arcsec to southwest"
NGC 174,,,00 30 02,00h30m02s,120 14.5,-30 14.5,-30°14.5',"extremely faint, small, very little extended, among bright stars"
NGC 175,,,00 30 21,00h30m21s,110 42.2,-20 42.2,-20°42.2',"pretty bright, pretty large, extended, gradually brighter middle, mottled but not resolved."
NGC 176,,,00 30 22,00h30m22s,163 56.5,-73 56.5,-73°56.5',"extremely faint, small, very little extended, mottled but not resolved, 8th magnitude star near"
NGC 177,,,00 30 30,00h30m30s,113 12.0,-23 12,-23°12',"extremely faint, small, extended 175° (perhaps a star?)"
NGC 178,,,00 30 30,00h30m30s,104 57.0,-14 57,-14°57',"faint, small, much extended 0°, brighter middle"
NGC 179,,,00 30 36,00h30m36s,108 37.0,-18 37,-18°37',"extremely faint, extremely small, round, bright star to northwest"
NGC 180,,,00 30 47,00h30m47s,82 06.1,7 53.9,7°53.9',"very faint, pretty large, irregularly round, star involved to northwest"
NGC 181,,,00 30 57,00h30m57s,61 17.9,28 42.1,28°42.1',"extremely faint, extremely small, irregular, very faint star attached"
NGC 182,,,00 31 01,00h31m01s,88 02.0,1 58,1°58',"very faint, small, irregularly round, very gradually brighter middle."
NGC 183,,,00 31 03,00h31m03s,61 15.6,28 44.4,28°44.4',"pretty faint, very small, round, gradually brighter middle"
NGC 184,,,00 31 09,00h31m09s,61 19.4,28 40.6,28°40.6',"extremely faint, extremely small"
NGC 185,,,00 31 14,00h31m14s,42 26.0,47 34,47°34',"pretty bright, very large, irregularly round, very gradually much brighter middle, mottled but nor resolved"
NGC 186,,,00 31 15,00h31m15s,87 36.1,2 23.9,2°23.9',"faint, small, round, a little brighter middle"
NGC 187,,,00 31 30,00h31m30s,105 25.9,-15 25.9,-15°25.9',"faint, small, much extended 150°, brighter middle"
NGC 188,,,00 31 40,00h31m40s,05 26.5,84 33.5,84°33.5',"a cluster, very large, round, 150-200 stars from 10th to 18th magnitude"
NGC 189,,,00 31 40,00h31m40s,29 42.5,60 17.5,60°17.5',"a cluster, pretty large, round, stars from 11th to 15th magnitude"
NGC 190,,,00 31 48,00h31m48s,83 42.6,6 17.4,6°17.4',"very faint, small, a little extended, several stars near to southwest"
NGC 191,,,00 31 53,00h31m53s,99 46.4,-9 46.4,-9°46.4',"pretty bright, pretty large, irregularly extended 0°"
NGC 192,,,00 32 03,00h32m03s,89 54.6,0 5.4,0°5.4',"faint, pretty small, pretty much extended, brighter middle"
NGC 193,,,00 32 07,00h32m07s,87 26.4,2 33.6,2°33.6',"faint, large, western of 2, 15th magnitude star close to southwest"
NGC 194,,,00 32 07,00h32m07s,87 43.9,2 16.1,2°16.1',"pretty bright, small, round, very gradually brighter middle"
NGC 195,,,00 32 08,00h32m08s,99 53.3,-9 53.3,-9°53.3',faint.
NGC 196,,,00 32 08,00h32m08s,89 51.4,0 8.6,0°8.6',"faint, pretty small, round, pretty suddenly much brighter middle"
NGC 197,,,00 32 09,00h32m09s,89 53,0 7,0°7',"extremely faint, south of h 41"
NGC 198,,,00 32 12,00h32m12s,87 58.2,2 1.8,2°1.8',"faint, small, very gradually brighter middle"
NGC 199,,,00 32 21,00h32m21s,87 37.9,2 22.1,2°22.1',"faint, very small, 8th magnitude star 27 seconds of time to west and 45 arcsec to south"
NGC 200,,,00 32 23,00h32m23s,87 53.0,2 7,2°7',"pretty bright, small, very gradually brighter middle"
NGC 201,,,00 32 26,00h32m26s,89 55.1,0 4.9,0°4.9',"very faint, considerably large, extended, very gradually a little brighter middle"
NGC 202,,,00 32 28,00h32m28s,87 14.0,2 46,2°46',"extremely faint, very small, irregularly brighter middle"
NGC 203,,,00 32 29,00h32m29s,87 19.7,2 40.3,2°40.3',"faint, round, 9th magnitude star 8 arcmin to southwest"
NGC 204,,,00 32 33,00h32m33s,87 28.1,2 31.9,2°31.9',"faint, pretty small, round, very gradually brighter middle, eastern of 2"
NGC 205,,,00 32 46,00h32m46s,49 05.0,40 55,40°55',"very bright, very large, much extended 165°, very gradually very much brighter middle"
NGC 206,,,00 32 57,00h32m57s,50 02.2,39 57.8,39°57.8',"very faint, very large, much extended 0°"
NGC 207,,,00 32 57,00h32m57s,105 04.0,-15 4,-15°4',"very faint, small, a little extended, stellar"
NGC 208,,,00 33 08,00h33m08s,88 01,1 59,1°59',pretty faint
NGC 209,,,00 33 30,00h33m30s,109 23.9,-19 23.9,-19°23.9',"very faint, very small, round, brighter middle"
NGC 210,,,00 33 32,00h33m32s,104 38.6,-14 38.6,-14°38.6',"bright, pretty small, round, pretty suddenly brighter middle, mottled but not resolved, 11th magnitude star 2 arcmin to west"
NGC 211,,,00 33 47,00h33m47s,87 19.7,2 40.3,2°40.3',"extremely faint, small, much brighter middle and nucleus"
NGC 212,,,00 33 50,00h33m50s,146 56.2,-56 56.2,-56°56.2',"very faint, small, round, western of 2"
NGC 213,,,00 33 55,00h33m55s,74 18.3,15 41.7,15°41.7',"faint, small, between 2 small (faint) stars"
NGC 214,,,00 34 03,00h34m03s,65 16.1,24 43.9,24°43.9',"pretty faint, pretty small, gradually a very little brighter middle, mottled but not resolved"
NGC 215,,,00 34 26,00h34m26s,146 58.5,-56 58.5,-56°58.5',"faint, small, round, among stars, eastern of 2"
NGC 216,,,00 34 29,00h34m29s,111 49.0,-21 49,-21°49',"extremely faint, very small, a little extended"
NGC 217,,,00 34 30,00h34m30s,100 47.0,-10 47,-10°47',"faint, small, a little extended 90°, gradually a little brighter middle"
NGC 218,,,00 34 57,00h34m57s,54 26.4,35 33.6,35°33.6',"extremely faint, very small, round, gradually brighter middle"
NGC 219,,,00 35 01,00h35m01s,89 51.8,0 8.2,0°8.2',"faint, small, round, 11th magnitude star 1 arcmin to southwest"
NGC 220,,,00 35 02,00h35m02s,164 09.9,-74 9.9,-74°9.9',"faint, irregularly round, very gradually brighter middle, 1st of several"
NGC 221,,,00 35 05,00h35m05s,49 54.2,40 5.8,40°5.8',"a remarkable object, very very bright, large, round, pretty suddenly much brighter middle and nucleus"
NGC 222,,,00 35 05,00h35m05s,164 14.0,-74 14,-74°14',"very faint, round, 2nd of several"
NGC 223,,,00 35 06,00h35m06s,89 55.7,0 4.3,0°4.3',"very faint, pretty small, round"
NGC 224,,,00 35 07,00h35m07s,49 29.8,40 30.2,40°30.2',"a magnificent object, most extremely bright, extremely large, very much extended (Andromeda)"
NGC 225,,,00 35 19,00h35m19s,28 58.7,61 1.3,61°1.3',"a cluster, large, a little compressed, stars from 9th to 10th magnitude"
NGC 226,,,00 35 24,00h35m24s,58 10.9,31 49.1,31°49.1',"extremely faint, small, round, 13th magnitude star 20 arcsec to south"
NGC 227,,,00 35 28,00h35m28s,92 17.7,-2 17.7,-2°17.7',"faint, pretty large, a little brighter middle"
NGC 228,,,00 35 32,00h35m32s,67 15.8,22 44.2,22°44.2',"extremely faint, small, round, fainter of 2"
NGC 229,,,00 35 42,00h35m42s,67 15.5,22 44.5,22°44.5',"very faint, small, round, smaller of 2"
