No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N2471,1586,...,...,"Ld R, Bigourdan",07,46,52,,+4.91,32,52.5,,+9.1,"*13, slightly nebulous",...
N2472,1587,...,...,Ld R,07,47,,,+4.91,32,57,+-,+9.1,"}2 of 10 neb, in line with h 469, 470",...
N2473,1588,...,...,Ld R,07,47,,,+4.91,32,57,+-,+9.1,"}2 of 10 neb, in line with h 469, 470",...
N2474,1591,471,III 830,...,07,47,11,,+4.66,36,46.2,,+9.2,"F, pS, E? bMvS*? L * nf",...
N2475,1592,...,...,Ld R,07,47,12,,+4.66,36,46.0,,+9.2,Makes D neb with h 471,...
N2476,...,...,...,St IX,07,47,16,,+4.08,49,42.4,,+9.1,"vS * in eF, S neb",...
N2477,1593,3103,...,"Lac I, D 535",07,47,19,,+2.13,128,11.1,,+9.1,"!, Cl, B, Ri, L, lC, st 12",...
N2478,1594,...,...,M 47,07,48,20,,+2.75,105,03.3,,+9.2,Cluster,*
N2479,1595,...,VII 58,...,07,48,40,,+2.70,107,21.1,,+9.2,"Cl, pL, pRi, pC, st S",...
N2480,1597,...,...,Ld R,07,48,,,+3.60,65,51,+-,+9.3,"vF, Enpsf, close np h 473",...
N2481,1596,473,II 302,...,07,48,48,,+3.60,65,52.1,,+9.3,"F, S, lE, bM, er",...
N2482,1598,474=3106,VII 10,...,07,49,01,,+2.54,113,56.2,,+9.3,"Cl, L, eRi, vlC",...
N2483,1599,3105,...,...,07,49,02,,+2.45,117,30.0,,+9.3,"Cl, L, lC",...
N2484,...,...,...,St XIII,07,49,10,,+4.00,51,50.5,,+9.3,"vF, vS, R, bM, r?",...
N2485,5398,...,...,m 107,07,49,17,,+3.24,82,09,,+9.3,Neb *12m,...
N2486,5399,...,...,m 108,07,49,25,,+3.64,64,26,,+9.3,"vF, S, psbM",...
N2487,5400,...,...,m 109,07,49,49,,+3.64,64,27,,+9.3,"vF, S, gbM",...
N2488,1600,475,III 837,...,07,50,26,,+4.88,33,03.9,,+9.4,"vF, vS, R, glbM",...
N2489,1601,479=3107,VII 23,Dunlop 626,07,50,37,,+2.40,119,42.0,,+9.4,"Cl, pL, eRi, pC, st 11...13",...
N2490,1603,...,...,Ld R,07,50,42,,+3.68,62,35.8,,+9.4,"vF, S, R, *13 1' f, p of 2",...
N2491,...,...,...,Sw III,07,50,49,,+3.24,81,37.6,,+9.4,"eeF, pS, irrR, v diffic, B * p",...
N2492,1602,477,...,...,07,50,54,,+3.68,62,36.0,,+9.4,"vF, S, R, bM, f of 2",...
N2493,1604,476,III 750,...,07,50,55,,+4.07,49,47.8,,+9.4,"cB, S, R, sbM",...
N2494,5401,...,...,m 110,07,50,58,,+3.07,90,15,,+9.4,"F, S, lE",...
N2495,1605,...,...,Ld R,07,51,,+,+3.07,49,47,+-,+9.4,"Follows III 750 2' or 3', eF, vS",...
N2496,...,...,...,Sw III,07,51,04,,+3.24,81,36.3,,+9.4,"vF, pS, R, lbM, * close f",...
N2497,1606,...,III 838,...,07,51,11,,+4.90,32,42.3,,+9.5,"eF, vS",...
N2498,...,...,...,St XIII,07,51,12,,+3.63,64,38.5,,+9.4,"vF, vS, R, bMN",...
N2499,5402,...,...,m 111,07,51,23,,+3.23,82,08,,+9.4,"eF, pS, iR",...
N2500,1607,478,III 709,...,07,51,25,,+4.53,38,52.1,,+9.5,"F, L, R, vgbM, r, am st",...
N2501,1608,3108,...,...,07,52,03,,+2.78,103,59.0,,+9.5,"cF, S, vlE 90d, glbM, am st",...
N2502,1609,3109,...,...,07,52,12,,+1.57,141,55.2,,+9.5,"pF, S, R, vgpmbM",...
N2503,5403,...,...,m 112,07,52,20,,+3.56,67,14,,+9.5,"eF, S, glbM",...
N2504,5404,...,...,m 113,07,52,27,,+3.19,84,01,,+9.5,"vF, S, R",...
N2505,1610,...,III 839,...,07,53,15,,+4.67,36,10.5,,+9.6,"cF, vS",...
N2506,1611,480,VI 37,...,07,53,16,,+2.86,100,14.4,,+9.6,"Cl, pL, vRi, C, st 11...20",*
N2507,1612,481,II 554,...,07,53,40,,+3.41,73,54.6,,+9.6,"pB, pL, iR, vgbM, er, * 232d, 80""",...
N2508,1618,484,III 7,d'A,07,54,19,,+3.26,81,03.8,,+9.7,"F, vS, vlE, 2 st p",...
N2509,1613,...,VIII 1,...,07,54,32,,+2.67,107,41.2,,+9.7,"Cl, B, pRi, lC, st S",...
N2510,1615,...,...,Ld R,07,54,33,,+3.27,80,07.7,,+9.7,gamma in Lord Rosse's diagram,...
N2511,1616,...,...,"Ld R, d'A",07,54,41,,+3.27,80,12.7,,+9.7,"eF, III 512 nf, (= Beta)",...
N2512,1614,482,III 605,...,07,54,47,,+3.59,66,13.5,,+9.7,"vF, S, iR",...
N2513,1617,483,III 512,...,07,54,47,,+3.27,80,12.2,,+9.7,"F, S, R, psmbM, r",...
N2514,...,...,...,St XIII,07,54,53,,+3.41,73,48.3,,+9.7,"eF, pS, irr R, dif",...
N2515,5066,...,...,G P Bond,07,55,13,,+3.51,69,25.3,,+9.7,"vF, cometic",...
N2516,1619,3111,...,Lac II 3,07,56,01,,+1.00,150,29.2,,+9.8,"Cl, vB, vL, pRi, st 7...13",...
N2517,1620,3110,...,...,07,56,17,,+2.83,101,54.8,,+9.8,"F, vS, R, bet 3 st 13-14",...
N2518,...,...,...,J G Lohse,07,56,45,+-,+4.54,38,29,,+9.9,"}Two neb, F, L, R, gbM, delta alpha = 42s",...
N2519,...,...,...,J G Lohse,07,56,45,+-,+4.54,38,29,,+9.9,"}Two neb, F, L, R, gbM, delta alpha = 42s",...
N2520,1612,3112,...,...,07,56,49,,+2.46,117,47.7,,+9.9,"Cl, B, pRi, pC",...
N2521,1622,485,...,...,07,57,26,,+4.94,31,49.8,,+10.0,"pF, pL, R, psbM, *9, np 3'",...
N2522,5405,...,...,m 114,07,58,11,,+3.45,71,54,,+10.0,"vF, vS, E, psbM",...
N2523,...,...,...,Sw II,07,58,38,,+7.09,15,59.6,,+10.1,"pB, pL, lE, lbM, * nr",...
N2524,5406,...,...,St VIII,07,58,48,,+4.02,50,26.5,,+10.0,"vF, S",...
N2525,1623,486,III 877,...,07,59,01,,+2.85,101,02.1,,+10.0,"cF, pL, R, vgvlbM, am st",...
N2526,5407,...,...,m 115,07,59,26,,+3.24,81,36,,+10.1,"vF, S, mE",...
N2527,1624,488,VIII 30,...,07,59,28,,+2.46,117,46.4,,+10.0,"Cl, vL, pRi, lC, st 10...15",...
N2528,5408,...,...,St VIII,07,59,44,,+4.02,50,28.4,,+10.1,"F, S, R, bM",...
N2529,...,...,...,Bigourdan,07,59,51,,+3.45,71,47,,+10.1,eF (suspected),...
N2530,1625,487,III 752,...,07,59,54,,+3.45,71,46.5,,+10.1,"eF, lE, vS * n",...
N2531,...,...,...,Bigourdan,07,59,57,,+3.45,71,47,,+10.1,vF,...
N2532,1626,489,II 726,...,08,01,16,,+3.86,55,38.2,,+10.2,"pB, pL, R, vglbM, r, 2 st nf",...
N2533,1627,3113,...,...,08,01,22,,+2.42,119,29.9,,+10.2,"Cl, pL, Ri, C, st 9, 13...14",...
N2534,1628,490,III 840,...,08,01,49,,+4.78,33,54.8,,+10.3,"pF, pL, R, psbM, *8, 164d                  .",..
N2535,5409,...,...,St VIII,08,02,48,,+3.62,64,23.0,,+10.3,"eF, vS, R",...
N2536,5410,...,...,St VIII,08,02,51,,+3.62,64,24.6,,+10.3,"vF, vS, R",...
N2537,1629,491,IV 55,...,08,03,19,,+4.27,43,35.6,,+10.4,"GC, pB, pL, R, rrr, st 20",...
N2538,5411,...,...,St VIII,08,04,03,,+3.15,85,57.2,,+10.4,"vF, vS, R, mbM",...
N2539,1630,3114,VII 11,...,08,04,08,,+2.82,102,25.0,,+10.4,"Cl, vL, Ri, lC, st 11...13",...
N2540,...,...,...,St XIII,08,04,18,,+3.64,63,13.3,,+10.5,"vF, pL, iR, bM, r",...
N2541,1631,492,III 710,...,08,04,26,,+4.40,40,30.3,,+10.5,"F, L, E, vgbM",...
N2542,1632,3115,...,...,08,04,42,,+2.82,102,30.9,,+10.5,Nebulous * 5th mag,...
N2543,1633,493,II 719,...,08,04,51,,+3.92,53,19.4,,+10.5,"F, pL, iR, vgbM, D* nr",*
N2544,...,...,...,Sw II,08,05,03,,+7.12,15,36.4,,+10.6,"eeF, pS, R, sev B st around",...
N2545,1634,494,II 627,...,08,06,03,,+3.52,68,13.5,,+10.6,"F, S, lE 45d, *8 np 4'",...
N2546,1635,3116,...,"Lac II 4, D 563",08,06,26,,+2.22,126,58.4,,+10.6,"Cl, B, L, lC, iE, st 9...12",...
N2547,1636,3117,...,"Lac III 2, D 411",08,06,32,,+1.77,138,51.0,,+10.6,"Cl, B, L, lC, st 7...16",...
N2548,1637,496,VI 22,CH,08,06,50,,+2.96,95,22.5,,+10.6,"Cl, vL, pRi, pmC, st 9...13",...
N2549,1638,495,...,...,08,07,38,,+4.89,31,46.1,,+10.7,"pB, S, mE 0d, psmbM",...
N2550,...,...,...,Sw II,08,08,03,,+7.12,15,33.3,,+10.8,"eeF, pS, cE",...
N2551,...,...,...,"T VI, Sw II",08,08,25,,+6.94,16,08.9,,+10.8,"vF, S, F * in centre",...
N2552,1639,...,III 711,...,08,08,46,,+4.44,39,32.6,,+10.8,"eF, cL, lE 45d",...
N2553,5412,...,...,m 116,08,09,22,,+3.51,68,38,,+10.8,"vF, S, glbM",...
N2554,1640,497,II 303,...,08,10,36,,+3.57,66,05.9,,+10.9,"F, S, R, mbM, r",...
N2555,1641,498,III 256,...,08,10,44,,+3.09,88,48.8,,+10.9,"vF, cS, iF, 3 S st inv?",...
N2556,5413,...,...,m 117,08,10,49,,+3.51,68,36,,+10.9,"vF, vS",...
N2557,5414,...,...,St VIII,08,10,59,,+3.52,68,06.9,,+10.9,"eF, eS, R, lbM",...
N2558,1642,499,III 606,...,08,11,07,,+3.50,69,03.2,,+11.0,"vF, S, R, sbM, stellar",...
N2559,1643,3118,...,...,08,11,21,,+2.50,117,02.2,,+10.9,"F, pL, gmbM, am 60 st",...
N2560,1644,...,...,d'A,08,11,42,,+3.51,68,34.8,,+11.0,"F, pL",...
N2561,...,...,...,Sw VI,08,12,06,,+3.17,84,54.4,,+11.0,"vF, S, R, 2 st triangle",...
N2562,1645,500,III 607,...,08,12,13,,+3.51,68,25.9,,+11.0,"vF, cS, R",...
N2563,1646,501,II 634,...,08,12,25,,+3.51,68,29.7,,+11.0,"cF, S, R, bM",...
N2564,1647,3119,...,...,08,12,28,,+2.63,111,22.6,,+11.0,"vF, S, R, gbM, am many st",...
N2565,...,...,...,J G Lohse,08,12,30,,+3.53,67,30.5,,+11.1,"F, biN",...
N2566,1648,...,III 288,...,08,12,49,,+2.55,115,01.9,,+11.0,"vF, cL, er",...
N2567,1649,503=3120,VII 64,...,08,12,58,,+2.42,120,12.3,,+11.1,"Cl, pL, pRi, lC, iR, st 11...14",...
N2568,...,...,...,Barnard,08,13,03,,+2.24,126,41.4,,+11.1,"vF, pL, F * inv",...
N2569,1650,...,...,d'A,08,13,11,,+3.50,68,41.8,,+11.1,"vF, cE, 3 vS st f",...
N2570,5415,...,...,Copeland (R),08,13,11,,+3.50,68,38.9,,+11.1,"eeF, L, R, n of 2",...
N2571,1651,502,VI 39,...,08,13,15,,+2.44,119,18.6,,+11.1,"Cl, vL, cRi, lC, st 9...",...
N2572,5416,...,...,St VIII,08,13,20,,+3.47,70,24.7,,+11.1,"eF, vS, iF, *13 att",...
N2573,1652,3176,...,...,08,13,,+-,-141.,179,41.1,,+7.7,"F, S, R, glbM, Polariss Austr",...
N2574,...,...,...,OSt II,08,14,09,,+2.90,98,31.5,,+11.1,"eF, pS, rr, *7.5 nf 5'",...
N2575,...,...,...,St IX,08,14,25,,+3.58,65,15.6,,+11.2,"eF, pL, iR, sev F st inv",...
N2576,5417,...,...,m 118,08,14,32,,+3.61,63,50,,+11.2,"eF, eS, stellar",...
N2577,1653,...,II 259,Schulz,08,14,39,,+3.54,67,00.2,,+11.1,"F, S, iF, r",...
N2578,1654,3121,III 902,...,08,14,49,,+2.82,102,52.6,,+11.2,"F, vlE, gbM, r, am 50 st",...
N2579,1655,3122,...,...,08,15,35,,+2.27,125,46.6,,+11.2,"D* (h 4083) in pS neb, am 70 st",...
N2580,1656,3123,...,...,08,15,44,,+2.44,119,52.1,,+11.2,"Cl, cL, pRi, pC, R, st 12",...
N2581,...,...,...,St XIII,08,16,29,,+3.45,70,57.1,,+11.4,"vF, vS, R, vF * inv, F * att",...
N2582,1657,504,III 753,...,08,17,03,,+3.49,69,13.4,,+11.4,"vF, pS, R, glbM, * p 75""",...
N2583,...,...,...,Mu II,08,17,07,,+2.98,94,31.3,,+11.4,"vF, S, R, sbMN, 1st of 4",...
N2584,...,...,...,Mu II,08,17,19,,+2.98,94,30.3,,+11.4,"vF, S, R, 2nd of 4",...
N2585,...,...,...,Mu II,08,17,25,,+2.98,94,27.3,,+11.4,"vF, S, R, 3rd of 4",...
N2586,...,...,...,Mu II,08,17,31,,+2.98,94,29.3,,+11.4,"eF, pS, R, 4th of 4 (? neb)",...
N2587,1658,3124,...,...,08,17,39,,+2.46,119,02.5,,+11.5,"Cl, pmCM, iF, st 9...13",...
N2588,1659,3125,...,...,08,17,39,,+2.37,122,31.2,,+11.5,"Cl, F, S, R, gbM, st 15",...
N2589,...,...,...,Sw VI,08,17,42,,+2.91,98,19.0,,+11.4,"pF, pS, lE",...
N2590,...,...,...,St IX,08,17,53,,+3.07,90,08.4,,+11.4,"F * inv in vF, vS, lE neb",...
N2591,5418,...,...,d'A,08,18,16,,+8.41,11,30.3,,+11.6,"F, S, E, lbM",...
N2592,1660,505,II 315,...,08,18,43,,+3.62,63,34.5,,+11.5,"pF, S, R, vsbM *",...
N2593,5419,...,...,m 119,08,18,49,,+3.41,72,10,,+11.5,"eF, vS",...
N2594,5420,...,...,m 120,08,18,52,,+3.61,63,40,,+11.5,eF,...
N2595,1661,506,III 599,...,08,19,34,,+3.51,68,03.8,,+11.6,"vF, pL, iF, r, D* sp 2'",...
N2596,5421,...,...,m 121,08,19,37,,+3.42,72,15,,+11.6,"vF, S, lE",...
N2597,5422,...,...,m 122,08,21,40,,+3.51,68,02,,+11.7,"eF, vS",...
N2598,5423,...,...,m 123,08,21,54,,+3.51,68,02,,+11.7,"F, S",...
N2599,1662,507,III 234,...,08,23,58,,+3.53,66,58.2,,+11.9,"vF, S, stellar",...
N2600,...,...,...,Bigourdan,08,24,12,,+4.51,36,18.7,,+11.8,No description,...
N2601,1663,3126,...,...,08,24,28,,+0.44,157,39.4,,+11.8,"F, pS, R, gbM",...
N2602,1664,508,...,...,08,24,33,,+4.51,36,41.5,,+11.9,"cF, S, R, * 95d",...
N2603,1667,...,...,Ld R,08,24,48,,+4.50,36,44,,+11.9,"eF, vS",*
N2604,1665,509,III 292,...,08,24,49,,+3.69,59,59.2,,+11.9,"vF, pL, R, lbM, r, D* nr",...
N2605,1668,...,...,Ld R,08,24,52,,+4.50,36,41,,+12.0,"F, S, lbM",*
N2606,1666,510,...,...,08,25,08,,+4.50,36,44.9,,+12.1,"cF, S, R, * 310d",...
N2607,1669,511,...,...,08,25,27,,+3.63,62,32.9,,+12.0,eF,...
N2608,1670,512,II 318,...,08,26,44,,+3.66,61,03.6,,+12.1,"F, vlE, mbM, r",...
N2609,1671,3130,...,...,08,26,49,,+1.17,150,38.5,,+12.0,"Cl, pS, lRi, lC",...
N2610,1672,513=3127,IV 35,...,08,26,57,,+2.77,105,40.1,,+12.1,"F, S, att to *13, *7 nf",...
N2611,5424,...,...,m 124,08,27,09,,+3.58,64,30,,+12.1,"vF, S, pmE, gbM",...
N2612,1673,3128,...,...,08,27,15,,+2.83,102,41.9,,+12.1,"B, S, E, psbM, bet 2 st",...
N2613,1674,3129,II 266,...,08,27,15,,+2.63,112,29.8,,+12.1,"cB, L, vmE 110d",...
N2614,5425,...,...,d'A,08,27,28,,+6.64,16,32.2,,+12.2,"eF, pS, R",...
N2615,...,...,...,St XIII,08,27,30,,+3.03,92,04.2,,+12.1,"F, pS, lE, lbM, F * inv r",...
N2616,...,...,...,Sw III,08,28,34,,+3.04,91,22.5,,+12.2,"vF, S, R, * nr nf",...
N2617,...,...,...,St XIII,08,28,39,,+3.00,93,36.6,,+12.2,"eF, vS, 2 vF st inv",...
N2618,1675,515,III 257,...,08,28,49,,+3.09,88,48.8,,+12.2,"eF, pL, iF",...
N2619,1676,514,II 319,...,08,29,01,,+3.66,60,49.3,,+12.2,"F, pS, R, bM, r",...
N2620,5426,...,...,"m 125, Lassell",08,29,09,,+3.60,64,35,,+12.2,"F, S, E",...
N2621,5427,...,...,m 126,08,29,18,,+3.60,64,32,,+12.2,"vF, S, R",...
N2622,5428,...,...,m 127,08,29,52,,+3.58,64,37,,+12.3,"F, S, R",...
N2623,...,...,...,St XIII,08,30,03,,+3.59,63,45.6,,+12.3,"vF, vS, R, bM, r",...
N2624,5429,...,...,m 128,08,30,06,,+3.46,69,48,,+12.3,eF,...
N2625,5430,...,...,m 129,08,30,19,,+3.46,69,48,,+12.3,"eF, vS",...
N2626,1677,3131,...,...,08,30,28,,+2.18,130,11.1,,+12.3,"*9 inv in pB, pL, R neb",#
N2627,1678,516=3132,VII 63,...,08,31,28,,+2.48,119,28.0,,+12.4,"Cl, cL, pRi, pC, st 11...13",...
N2628,1680,...,III 235,...,08,31,51,,+3.54,65,57.3,,+12.4,"eF, S",...
N2629,1679,...,III 982,"HON, d'A",08,32,00,,+6.58,16,31.5,,+12.5,"vF, S, stellar",*
N2630,...,...,...,T IX,08,32,,,+6.58,16,30,+-,+12.5,"}2 vF, vS, v nr III 982",...
N2631,...,...,...,T IX,08,32,,,+6.58,16,30,+-,+12.5,"}2 vF, vS, v nr III 982",...
N2632,1681,517,...,"Hipparchus, M 44",08,32,,,+3.46,69,32,,+12.4,Praesepe Cancri,...
N2633,...,...,...,"T VI, IX",08,32,22,,+6.86,15,23.2,,+12.5,"F, S, lE",...
N2634,...,...,...,"T VI, IX",08,32,34,,+6.83,15,31.2,,+12.5,"F, S, lE",...
N2635,1683,3133,...,...,08,32,58,,+2.36,124,16.2,,+12.5,"Cl, pmC, irr triangle, st 13...",...
N2636,...,...,...,T IX,08,33,00,,+6.72,15,51,,+12.5,"vF, S, 2 st 11-12 f",*
N2637,5431,...,...,m 130,08,33,17,,+3.45,69,57,,+12.5,"eeF, vS",...
N2638,...,...,...,St XIII,08,33,25,,+3.88,52,17.0,,+12.5,"vF, vS, iF",...
N2639,1684,518,I 204,...,08,33,33,,+4.35,39,17.8,,+12.6,"cB, S, E 130d, psmbM",...
N2640,1685,3134,...,...,08,33,42,,+1.60,144,37.8,,+12.5,"pB, S, R, 3 or 4 vS st p nr",...
N2641,1682,...,III 983,"HON, d'A",08,33,46,,+6.54,16,35.4,,+12.6,"vF, S, stellar",*
N2642,1686,519,...,d'A,08,33,49,,+3.01,93,38.8,,+12.5,"vF, pL, gbM, 2 B st s, one f",*
N2643,5432,...,...,m 131,08,34,08,,+3.45,69,59,,+12.6,eF neb *,...
N2644,...,...,...,St IX,08,34,09,,+3.17,84,31.4,,+12.6,"vF, pL, irr oval, sev S points",...
N2645,1687,3136,...,...,08,34,21,,+2.00,135,43.9,,+12.6,"Cl, S, st L and S",...
N2646,...,...,...,T IX,08,34,35,,+6.66,16,01,,+12.7,"vF, S, 2F st 2.5' sf",*
N2647,5433,...,...,m 132,08,34,42,,+3.45,69,52,,+12.6,Neb *,...
N2648,1688,521=3135,III 49,...,08,34,51,,+3.35,75,13.0,,+12.6,"F, S, vlE 135d, psbM",...
N2649,1689,522,II 727,...,08,35,18,,+3.80,54,47.3,,+12.7,"F, L, R, r",...
N2650,1690,...,II 908,...,08,36,10,,+6.02,19,11.4,,+12.8,"pB, pL, iF, er",...
N2651,5434,...,...,m 133,08,36,11,,+3.29,77,45,,+12.7,"eF, S, E",...
N2652,...,...,...,OSt II,08,36,12,,+3.01,93,06.7,,+12.7,"F, pS, E 50d, gbM stell N, *9 sp 50""",...
N2653,...,...,...,T VI,08,36,41,,+8.29,11,04,,+12.9,"vF, vS, F * close n, I 288 s",...
N2654,...,...,...,T VI,08,36,55,,+4.91,29,13,,+12.8,"pF, S, F * in M, F * close sp",...
N2655,1691,520,I 288,...,08,37,02,,+8.24,11,15.6,,+12.9,"vB, cL, lE 90d, gsvmbM",...
N2656,1692,523,...,...,08,37,28,,+4.50,35,36.8,,+12.8,"eF, psbM",...
N2657,...,...,...,St XIII,08,37,41,,+3.25,79,51.1,,+12.8,"vF, vS, iR, F * att f",...
N2658,1693,4017,...,"hon, Dunlop 609",08,37,46,,+2.42,122,09.1,,+12.8,"Cl, pS, lRi, lC, iF, st 12-13",...
N2659,1694,3137,...,...,08,37,50,,+2.06,134,27.3,,+12.8,"Cl, L, Ri, pmE, st 11...14",...
N2660,1695,3138,...,...,08,38,01,,+1.98,136,42.3,,+12.8,"Cl, pS, mC, iR, gbM, st 13...15",...
N2661,1696,...,III 50,Bigourdan,08,38,16,,+3.31,76,52.7,,+12.9,"eF, cL, R, lbM",*
N2662,1697,3139,...,...,08,39,00,,+2.80,104,47.3,,+12.9,"vF, vS, R, bM, *15 nr",...
N2663,...,...,...,Sw III,08,39,30,,+2.40,123,19.8,,+12.9,"pF, pS, lE",...
N2664,1698,524,...,...,08,39,30,,+3.31,76,53.2,,+12.9,"Cl, st 9...10",...
N2665,...,...,...,Mu II,08,39,38,,+2.72,108,48.6,,+12.9,"F, S, R, gbMN",...
N2666,1700,525,...,...,08,40,20,,+4.18,42,25.7,,+13.0,"Cl, lC",...
N2667,1699,...,...,d'A,08,40,21,,+3.43,70,27.8,,+13.0,eF,...
N2668,...,...,...,St IX,08,40,24,,+3.84,52,46.0,,+13.0,"vF, vS, R, r",...
N2669,1701,3140,...,Sufi,08,40,51,,+2.69,143,27.5,,+13.0,"Cl, L, P, lC, st 10...13",...
N2670,1702,3142,...,...,08,41,03,,+2.93,138,16.5,,+13.0,"Cl, pL, P, lC, st 13...",...
N2671,1703,3141,...,Dunlop 489? 490?,08,41,07,,+2.17,131,22.5,,+13.0,"Cl, pRi, lCM, st 12...13",...
N2672,1704,526,II 80=II 48,...,08,41,23,,+3.43,70,24.8,,+13.1,"pB, pL, iR, mbM",*
N2673,1705,...,...,Ld R,08,41,25,,+3.43,70,24.9,,+13.1,"vF, vS, close f h 526",...
N2674,...,...,...,OSt I,08,41,35,,+2.82,103,46.4,,+13.1,"eF, S, neb?",...
N2675,1706,...,...,d'A,08,41,52,,+4.46,35,58.8,,+13.1,"vF, R, *15 p 12sec",...
N2676,...,...,...,Sw VI,08,41,58,,+4.20,41,54.5,,+13.1,"eeF, pS, R, 4 pB st nf",...
N2677,1707,527,II 48?,...,08,42,01,,+3.43,70,28.3,,+13.1,"eF, vS, rr (vS Cl)",*
N2678,1708,528,VIII 10,...,08,42,33,,+3.28,78,08.8,,+13.1,"Cl, vlC, P",...
N2679,1709,529,III 294,...,08,42,59,,+3.69,58,36.6,,+13.2,"pF, pS, R, bM} D neb",...
N2680,1710,...,...,Ld R,08,43,00,,+3.69,58,36.6,,+13.2,"vF, vS, R, bM} D neb",...
N2681,1711,530,I 242,...,08,43,28,,+4.35,38,09.8,,+13.2,"vB, vL, vg, vsmbM * 10",...
N2682,1712,531,...,"M 67, Oriani",08,43,34,,+3.29,77,40.6,,+13.2,"!Cl, vB, vL, eRi, lC, st 10...15",...
N2683,1713,532,I 200,...,08,43,59,,+3.75,56,03.4,,+13.2,"vB, vL, vmE 39d, gmbM",...
N2684,1714,533,III 712,...,08,45,02,,+4.25,40,18.6,,+13.3,"F, pL, R, gbM, 4 S st nr",...
N2685,...,...,...,T VI,08,45,04,,+4.75,30,41,,+13.3,"pF, R, F * in centre",...
N2686,1715,...,...,Ld R,08,45,,,+4.25,40,20,+-,+13.3,"vF, vS, D or * close f",...
N2687,1716,...,...,Ld R,08,45,,,+4.25,40,19,+-,+13.3,vS,...
N2688,1717,...,...,Ld R,08,45,,,+4.25,40,21,+-,+13.3,"vvF, S",...
N2689,...,...,...,Ld R,08,45,,,+4.25,40,22,+-,+13.3,"vvF, S",...
N2690,...,...,...,Sw III,08,45,14,,+3.03,92,05.8,,+13.3,"pF, S, E",...
N2691,1718,...,II 658,...,08,45,43,,+3.91,49,55.2,,+13.4,"pF, vS, mbM",...
N2692,1719,534,III 831,...,08,46,50,,+4.37,37,24.1,,+13.4,"vF, S, R, psbM",...
N2693,1720,535,II 823,...,08,46,58,,+4.33,38,07.1,,+13.4,"pB, lE, psmbM",*
N2694,5435,...,...,Ld R,08,46,58,,+4.33,38,08,,+13.4,"vF, vS, 1' s of h 535",...
N2695,1721,536,II 280,...,08,47,23,,+3.03,92,32.1,,+13.4,"pF, cS, R",#
N2696,...,...,...,OSt I,08,47,30,,+2.99,94,27.2,,+13.5,"eF, vS, stellar",...
N2697,1725,...,...,Ld R,08,47,58,,+3.03,92,27.2,,+13.5,"vF, vS, R",...
N2698,1726,538,...,...,08,48,32,,+3.03,92,38.6,,+13.5,"vF, pS, R, *9 np 4'",...
N2699,1727,...,...,d'A,08,48,44,,+3.03,92,35.0,,+13.5,"vF, S, R, *15 np",...
N2700,5437,...,...,Tempel,08,48,45,,+3.03,94,34,,+13.5,"eF, vS, 1' n of 1727",...
N2701,1728,537,IV 66,...,08,48,46,,+4.44,35,41.4,,+13.6,"pB, fan-shaped, *11 att",#
N2702,5436,...,...,Tempel,08,48,49,,+3.03,92,31.2,,+13.6,"vF, vS, 4' nf 1727",...
N2703,5438,...,...,Tempel,08,48,50,,+3.02,92,45,,+13.6,"eF, lE, doubtful",...
N2704,1729,...,III 625,...,08,48,54,,+3.89,50,07.4,,+13.6,"vF, vS",...
N2705,5439,...,...,Tempel,08,48,55,,+3.03,92,28.2,,+13.6,"vF, vS, 3 st 14 f, nf",...
N2706,...,...,...,Sw III,08,49,04,,+3.03,92,02.5,,+13.6,"vF, pS, mE, * nr f",...
N2707,5440,...,...,Tempel,08,49,05,,+3.03,92,32,,+13.6,"eF, S",...
N2708,1730,...,II 281,d'A,08,49,06,,+3.02,92,49.1,,+13.6,"pF, pS, E, 2 st nr",...
N2709,1722,...,...,Ld R,08,49,11,,+3.02,92,42.0,,+13.6,"vF, pS, lE, nnf II 281",*
N2710,1731,...,III 841,...,08,49,15,,+4.54,33,46.9,,+13.6,"vF, S",...
N2711,5441,...,...,m 134,08,49,31,,+3.39,72,11,,+13.6,"vF, S, R",...
N2712,1732,540,...,...,08,50,04,,+4.07,44,33.4,,+13.7,"pB, L, E, vgbM *18",...
N2713,5442,...,...,"m 135, d'A",08,50,05,,+3.13,86,32.4,,+13.7,"pB, iR, mbM",...
N2714,1733,3143,...,...,08,50,06,,+1.45,148,41.4,,+13.6,"eF, S, R, pslbM",...
N2715,5443,...,...,Borelly,08,50,09,,+7.88,11,22.6,,+13.7,"pB, L, E",...
N2716,5444,...,...,"m 136, d'A",08,50,19,,+3.13,86,22.9,,+13.6,"F, S, R, mbM",...
N2717,1734,3144,...,...,08,50,52,,+2.63,114,08.0,,+13.7,"pF, S, R, vgpmbM",...
N2718,1735=1736,542,II 557,...,08,51,20,,+3.19,83,08.5,,+13.7,"F, pL, E, am 3 st",*
N2719,1737,541,III 540,...,08,51,26,,+3.79,53,44.1,,+13.7,"vF, S, E 110d, 2 vF st inv",...
N2720,5445,...,...,"m 137, T I",08,51,30,,+3.27,78,18,,+13.7,"F, S, R, bM",...
N2721,1739,543,II 529,...,08,51,59,,+3.00,94,21.5,,+13.7,"cF, pL, R, vgbM",...
